matchNumber,matchKey,blue1,blue2,blue3,red1,red2,red3,blueScore,redScore,post_result_time,predicted_time,blueAdjustPoints,blueAutoOwnership,blueAutoPts,blueAutoRanking,blueAutoBot1,blueAutoBot2,blueAutoBot3,blueAutoRunPoints,blueAutoScaleOwnershipSec,blueAutoSwitchAtZero,blueAutoSwitchOwnershipSpec,blueEndGamePoints,blueEndGameBot1,blueEndGameBot2,blueEndGameBot3,blueEndGameRP,blueFoulCount,blueFoulPts,blueRP,tbaGameData,blueTechFoulCount,blueTOownership,blueTOpts,blueScaleBoost,blueScaleForce,blueTOscaleOwnershipSec,blueTOswitchBoost,blueTOswitchForce,blueTOswitchOwnershipSec,blueBoostPlayed,blueBoostTotal,blueForcePlayed,blueForceTotal,blueLevitatePlayed,blueLevitateTotal,blueVaultPts,redAdjustPoints,redAutoOwnership,redAutoPts,redAutoRanking,redAutoBot1,redAutoBot2,redAutoBot3,redAutoRunPoints,redAutoScaleOwnershipSec,redAutoSwitchAtZero,redAutoSwitchOwnershipSpec,redEndGamePoints,redEndGameBot1,redEndGameBot2,redEndGameBot3,redEndGameRP,redFoulCount,redFoulPts,redRP,tbaGameData,redTechFoulCount,redTOownership,redTOpts,redScaleBoost,redScaleForce,redTOscaleOwnershipSec,redTOswitchBoost,redTOswitchForce,redTOswitchOwnershipSec,redBoostPlayed,redBoostTotal,redForcePlayed,redForceTotal,redLevitatePlayed,redLevitateTotal,redVaultPts
19,2018cthar_qm19,181,1991,6333,173,1740,2836,279,357,1523125080,1523124903,0,16,31,False,AutoRun,AutoRun,AutoRun,15,8,False,0,65,Climbing,Parking,Levitate,False,1,10,0,RRR,0,148,238,0,2,17,0,0,131,0,0,2,2,3,3,25,0,14,29,True,AutoRun,AutoRun,AutoRun,15,0,True,7,40,Levitate,Parking,Parking,False,2,5,3,RRR,0,253,323,9,0,101,10,0,133,3,3,0,0,3,3,30
2,2018cthar_qm2,558,999,2064,1740,1085,236,285,246,1523114322,1523114223,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,65,Climbing,Parking,Levitate,False,0,5,3,LLL,0,145,245,0,8,9,0,8,136,0,1,3,3,3,3,35,0,22,27,False,None,None,AutoRun,5,8,True,3,65,Parking,Levitate,Climbing,False,1,0,0,LLL,0,139,219,0,0,122,0,0,17,0,0,0,0,3,3,15
20,2018cthar_qm20,190,1027,2170,5129,6346,7127,367,228,1523125610,1523125502,0,22,32,False,AutoRun,None,AutoRun,10,0,True,11,30,None,Levitate,None,False,2,15,2,RLR,0,255,320,10,0,99,10,0,136,3,3,0,1,3,3,35,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,40,Parking,Parking,Levitate,False,3,10,1,RLR,0,120,185,0,10,11,0,0,109,0,0,2,2,3,3,25
21,2018cthar_qm21,1973,6811,2785,6812,175,2064,188,416,1523126043,1523125863,0,0,15,False,AutoRun,AutoRun,AutoRun,15,0,False,0,10,None,Parking,Parking,False,0,130,0,RRR,0,23,43,0,0,0,0,0,23,0,0,0,0,0,2,10,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Levitate,Climbing,Parking,False,21,0,3,RRR,1,273,383,10,10,117,10,10,136,3,3,3,3,3,3,45
22,2018cthar_qm22,2836,839,1085,230,3634,181,217,339,1523126466,1523126402,0,8,23,False,AutoRun,AutoRun,AutoRun,15,4,False,0,40,Parking,Parking,Levitate,False,0,5,0,RLR,0,134,189,0,0,6,0,0,128,0,0,0,0,3,3,15,0,18,33,True,AutoRun,AutoRun,AutoRun,15,1,True,8,65,Climbing,Levitate,Parking,False,1,0,3,RLR,0,206,306,0,0,60,10,0,136,3,3,0,1,3,3,35
23,2018cthar_qm23,5142,571,195,1027,3182,7127,431,56,1523126984,1523126891,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,30,None,Levitate,None,False,0,50,3,LLL,0,279,344,10,0,123,10,0,136,3,3,0,1,3,3,35,0,0,10,False,None,AutoRun,AutoRun,10,0,False,0,10,None,Parking,Parking,False,0,0,0,LLL,2,36,46,0,0,0,0,0,36,0,0,0,0,0,0,0
24,2018cthar_qm24,236,4987,175,190,5129,6812,362,185,1523127530,1523127362,0,18,33,True,AutoRun,AutoRun,AutoRun,15,0,True,9,65,Climbing,Parking,Levitate,False,1,30,3,LLL,0,214,299,0,0,112,0,0,102,0,1,0,0,3,3,20,0,8,18,False,AutoRun,AutoRun,None,10,4,False,0,35,None,Parking,Levitate,False,1,5,0,LLL,1,107,162,0,0,21,0,0,86,0,1,0,0,3,3,20
25,2018cthar_qm25,1740,176,6346,5746,155,3146,433,234,1523127987,1523127842,0,22,32,False,AutoRun,AutoRun,None,10,0,True,11,90,Climbing,Climbing,Levitate,True,1,25,3,LRL,2,261,376,0,0,115,10,0,136,1,2,0,0,3,3,25,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,10,None,Parking,Parking,False,0,55,1,LRL,1,113,148,0,10,11,10,10,92,1,1,3,3,0,1,25
26,2018cthar_qm26,3654,7153,3464,1991,173,558,306,382,1523128432,1523128321,0,8,23,True,AutoRun,AutoRun,AutoRun,15,0,True,4,65,Parking,Levitate,Climbing,False,0,25,1,LRL,0,148,258,0,10,11,1,10,136,3,3,3,3,3,3,45,0,20,35,True,AutoRun,AutoRun,AutoRun,15,0,True,10,60,None,Levitate,Climbing,False,0,0,3,LRL,1,242,347,0,10,106,0,10,136,0,3,3,3,3,3,45
27,2018cthar_qm27,5686,2067,177,999,6333,2170,429,238,1523128839,1523128677,0,16,31,True,AutoRun,AutoRun,AutoRun,15,0,True,8,65,Levitate,Parking,Climbing,False,0,55,3,LLL,0,248,343,10,0,127,0,0,111,2,3,0,0,3,3,30,0,22,37,True,AutoRun,AutoRun,AutoRun,15,0,True,11,40,Parking,Parking,Levitate,False,1,0,1,LLL,2,136,201,0,0,0,10,0,126,1,1,0,1,3,3,25
